"businessentityid","phonenumber","phonenumbertypeid","modifieddate"
2719,"1 (11) 500 555-0120",2,2012-12-19 00:00:00.000
2720,"1 (11) 500 555-0116",2,2014-03-01 00:00:00.000
2721,"1 (11) 500 555-0144",1,2014-01-09 00:00:00.000
2722,"1 (11) 500 555-0167",1,2011-12-15 00:00:00.000
2723,"623-555-0149",2,2014-05-11 00:00:00.000
2724,"184-555-0116",1,2013-10-10 00:00:00.000
2725,"1 (11) 500 555-0112",2,2013-12-29 00:00:00.000
2726,"1 (11) 500 555-0111",1,2012-11-22 00:00:00.000
2727,"922-555-0148",1,2014-05-28 00:00:00.000
2728,"184-555-0115",1,2013-11-08 00:00:00.000
2729,"593-555-0122",2,2013-12-22 00:00:00.000
2730,"903-555-0191",2,2014-01-14 00:00:00.000
2731,"367-555-0172",1,2012-02-25 00:00:00.000
2732,"403-555-0151",2,2012-11-22 00:00:00.000
2733,"1 (11) 500 555-0139",1,2013-08-26 00:00:00.000
2734,"467-555-0158",2,2013-09-29 00:00:00.000
2735,"181-555-0143",2,2014-02-18 00:00:00.000
2736,"858-555-0113",1,2014-04-07 00:00:00.000
2737,"839-555-0114",2,2012-09-20 00:00:00.000
2738,"795-555-0160",1,2014-02-04 00:00:00.000
2739,"433-555-0124",1,2013-12-19 00:00:00.000
2740,"1 (11) 500 555-0116",1,2012-11-20 00:00:00.000
2741,"1 (11) 500 555-0115",2,2013-12-31 00:00:00.000
2742,"1 (11) 500 555-0195",2,2013-08-08 00:00:00.000
2743,"1 (11) 500 555-0150",1,2012-11-10 00:00:00.000
2744,"1 (11) 500 555-0149",2,2013-06-27 00:00:00.000
2745,"1 (11) 500 555-0170",2,2013-07-30 00:00:00.000
2746,"1 (11) 500 555-0177",2,2013-07-15 00:00:00.000
2747,"1 (11) 500 555-0152",1,2014-02-14 00:00:00.000
2748,"930-555-0153",2,2013-11-20 00:00:00.000
2749,"453-555-0172",1,2014-01-30 00:00:00.000
2750,"1 (11) 500 555-0118",2,2012-02-22 00:00:00.000
2751,"177-555-0155",1,2014-04-29 00:00:00.000
2752,"870-555-0114",2,2013-11-27 00:00:00.000
2753,"1 (11) 500 555-0183",2,2013-09-03 00:00:00.000
2754,"1 (11) 500 555-0117",1,2014-03-29 00:00:00.000
2755,"1 (11) 500 555-0129",1,2014-02-26 00:00:00.000
2756,"1 (11) 500 555-0132",2,2014-01-04 00:00:00.000
2757,"193-555-0158",1,2013-10-17 00:00:00.000
2758,"904-555-0115",1,2013-05-27 00:00:00.000
2759,"125-555-0117",1,2011-08-15 00:00:00.000
2760,"701-555-0143",2,2014-01-14 00:00:00.000
2761,"821-555-0116",1,2013-10-28 00:00:00.000
2762,"1 (11) 500 555-0155",2,2014-02-13 00:00:00.000
2763,"747-555-0149",1,2014-02-01 00:00:00.000
2764,"772-555-0133",1,2013-10-27 00:00:00.000
2765,"1 (11) 500 555-0114",2,2014-03-23 00:00:00.000
2766,"808-555-0111",2,2013-08-07 00:00:00.000
2767,"987-555-0181",1,2014-05-13 00:00:00.000
2768,"1 (11) 500 555-0143",2,2013-09-12 00:00:00.000
2769,"160-555-0167",2,2013-12-29 00:00:00.000
2770,"1 (11) 500 555-0172",2,2012-12-22 00:00:00.000
2771,"1 (11) 500 555-0129",1,2014-03-31 00:00:00.000
2772,"243-555-0161",1,2012-07-02 00:00:00.000
2773,"488-555-0143",1,2014-04-03 00:00:00.000
2774,"1 (11) 500 555-0137",1,2012-04-22 00:00:00.000
2775,"383-555-0192",1,2014-01-06 00:00:00.000
2776,"159-555-0117",2,2012-05-24 00:00:00.000
2777,"988-555-0136",2,2014-05-28 00:00:00.000
2778,"1 (11) 500 555-0191",2,2011-10-07 00:00:00.000
2779,"152-555-0147",1,2013-09-13 00:00:00.000
2780,"512-555-0160",1,2012-12-09 00:00:00.000
2781,"1 (11) 500 555-0166",2,2014-05-30 00:00:00.000
2782,"649-555-0121",1,2013-10-13 00:00:00.000
2783,"1 (11) 500 555-0175",2,2014-03-25 00:00:00.000
2784,"656-555-0121",1,2011-06-27 00:00:00.000
2785,"1 (11) 500 555-0142",2,2013-10-06 00:00:00.000
2786,"530-555-0166",1,2013-09-10 00:00:00.000
2787,"862-555-0162",2,2014-04-04 00:00:00.000
2788,"1 (11) 500 555-0117",2,2014-04-28 00:00:00.000
2789,"1 (11) 500 555-0134",1,2011-06-04 00:00:00.000
2790,"466-555-0112",2,2013-07-06 00:00:00.000
2791,"1 (11) 500 555-0166",1,2014-05-21 00:00:00.000
2792,"998-555-0187",1,2013-09-17 00:00:00.000
2793,"932-555-0172",2,2012-08-29 00:00:00.000
2794,"942-555-0159",1,2014-03-19 00:00:00.000
2795,"1 (11) 500 555-0117",1,2014-02-07 00:00:00.000
2796,"1 (11) 500 555-0126",1,2012-12-09 00:00:00.000
2797,"656-555-0199",1,2013-12-04 00:00:00.000
2798,"1 (11) 500 555-0113",1,2012-12-25 00:00:00.000
2799,"794-555-0196",1,2011-10-19 00:00:00.000
2800,"342-555-0110",1,2013-08-03 00:00:00.000
2801,"574-555-0184",1,2011-11-27 00:00:00.000
2802,"484-555-0190",2,2012-11-20 00:00:00.000
2803,"944-555-0172",1,2014-01-26 00:00:00.000
2804,"1 (11) 500 555-0131",2,2012-11-01 00:00:00.000
2805,"621-555-0199",1,2013-09-19 00:00:00.000
2806,"664-555-0121",1,2013-07-02 00:00:00.000
2807,"1 (11) 500 555-0170",2,2014-03-01 00:00:00.000
2808,"439-555-0168",2,2014-03-01 00:00:00.000
2809,"528-555-0141",1,2014-03-04 00:00:00.000
2810,"1 (11) 500 555-0189",2,2014-05-15 00:00:00.000
2811,"1 (11) 500 555-0143",1,2014-01-29 00:00:00.000
2812,"1 (11) 500 555-0166",1,2012-01-03 00:00:00.000
2813,"321-555-0162",1,2013-10-26 00:00:00.000
2814,"1 (11) 500 555-0173",1,2012-08-30 00:00:00.000
2815,"1 (11) 500 555-0188",1,2013-07-10 00:00:00.000
2816,"314-555-0177",2,2013-07-23 00:00:00.000
2817,"278-555-0183",2,2014-01-17 00:00:00.000
2818,"1 (11) 500 555-0168",1,2012-11-28 00:00:00.000
2819,"1 (11) 500 555-0139",2,2014-03-08 00:00:00.000
2820,"1 (11) 500 555-0119",2,2012-07-06 00:00:00.000
2821,"378-555-0171",2,2014-04-26 00:00:00.000
2822,"1 (11) 500 555-0135",2,2014-01-04 00:00:00.000
2823,"588-555-0133",2,2014-06-29 00:00:00.000
2824,"1 (11) 500 555-0125",2,2012-04-13 00:00:00.000
2825,"780-555-0185",2,2014-06-15 00:00:00.000
2826,"1 (11) 500 555-0164",1,2013-09-19 00:00:00.000
2827,"218-555-0114",1,2014-06-25 00:00:00.000
2828,"277-555-0156",1,2014-05-22 00:00:00.000
2829,"1 (11) 500 555-0158",1,2012-01-22 00:00:00.000
2830,"166-555-0111",2,2013-08-22 00:00:00.000
2831,"817-555-0114",1,2014-03-13 00:00:00.000
2832,"1 (11) 500 555-0198",2,2014-04-15 00:00:00.000
2833,"1 (11) 500 555-0114",2,2013-04-09 00:00:00.000
2834,"507-555-0112",1,2014-06-05 00:00:00.000
2835,"958-555-0163",2,2011-06-04 00:00:00.000
2836,"1 (11) 500 555-0188",1,2012-06-08 00:00:00.000
2837,"117-555-0193",1,2013-10-13 00:00:00.000
2838,"1 (11) 500 555-0124",1,2012-11-22 00:00:00.000
2839,"1 (11) 500 555-0157",2,2013-07-23 00:00:00.000
2840,"1 (11) 500 555-0121",1,2011-06-22 00:00:00.000
2841,"187-555-0175",2,2014-01-27 00:00:00.000
2842,"180-555-0186",1,2013-11-14 00:00:00.000
2843,"1 (11) 500 555-0180",1,2013-09-08 00:00:00.000
2844,"1 (11) 500 555-0181",1,2012-03-06 00:00:00.000
2845,"1 (11) 500 555-0183",2,2013-03-01 00:00:00.000
2846,"774-555-0122",2,2014-03-21 00:00:00.000
2847,"1 (11) 500 555-0139",2,2013-12-14 00:00:00.000
2848,"880-555-0151",1,2014-01-20 00:00:00.000
2849,"141-555-0150",1,2013-10-04 00:00:00.000
2850,"848-555-0191",2,2014-01-13 00:00:00.000
2851,"1 (11) 500 555-0154",1,2013-05-20 00:00:00.000
2852,"273-555-0161",1,2014-04-24 00:00:00.000
2853,"618-555-0128",1,2012-11-08 00:00:00.000
2854,"1 (11) 500 555-0171",1,2013-04-10 00:00:00.000
2855,"641-555-0112",1,2014-01-29 00:00:00.000
2856,"848-555-0130",2,2013-09-16 00:00:00.000
2857,"1 (11) 500 555-0131",2,2011-06-25 00:00:00.000
2858,"637-555-0114",2,2013-07-27 00:00:00.000
2859,"141-555-0169",2,2013-09-26 00:00:00.000
2860,"928-555-0156",1,2012-09-02 00:00:00.000
2861,"144-555-0165",2,2013-10-04 00:00:00.000
2862,"990-555-0115",1,2013-12-19 00:00:00.000
2863,"484-555-0136",1,2014-03-15 00:00:00.000
2864,"290-555-0125",1,2014-05-24 00:00:00.000
2865,"1 (11) 500 555-0163",2,2013-11-11 00:00:00.000
2866,"383-555-0136",1,2013-01-04 00:00:00.000
2867,"162-555-0173",2,2014-06-10 00:00:00.000
2868,"431-555-0156",1,2013-08-23 00:00:00.000
2869,"1 (11) 500 555-0141",2,2012-12-20 00:00:00.000
2870,"616-555-0166",2,2013-10-29 00:00:00.000
2871,"1 (11) 500 555-0118",1,2013-07-04 00:00:00.000
2872,"1 (11) 500 555-0118",1,2013-12-07 00:00:00.000
2873,"219-555-0146",2,2013-07-24 00:00:00.000
2874,"1 (11) 500 555-0185",1,2013-08-06 00:00:00.000
2875,"699-555-0122",1,2013-12-06 00:00:00.000
2876,"1 (11) 500 555-0124",1,2013-12-22 00:00:00.000
2877,"1 (11) 500 555-0152",1,2013-10-28 00:00:00.000
2878,"115-555-0119",1,2014-04-22 00:00:00.000
2879,"334-555-0156",2,2013-12-28 00:00:00.000
2880,"1 (11) 500 555-0144",1,2014-01-06 00:00:00.000
2881,"1 (11) 500 555-0179",1,2012-01-09 00:00:00.000
2882,"1 (11) 500 555-0169",2,2014-04-11 00:00:00.000
2883,"122-555-0119",2,2013-08-25 00:00:00.000
2884,"287-555-0110",1,2014-01-19 00:00:00.000
2885,"1 (11) 500 555-0118",2,2013-07-11 00:00:00.000
2886,"121-555-0110",2,2014-02-28 00:00:00.000
2887,"1 (11) 500 555-0125",1,2014-04-15 00:00:00.000
2888,"1 (11) 500 555-0119",1,2013-11-29 00:00:00.000
2889,"621-555-0147",2,2011-12-14 00:00:00.000
2890,"1 (11) 500 555-0116",2,2014-05-24 00:00:00.000
2891,"1 (11) 500 555-0159",1,2014-01-31 00:00:00.000
2892,"771-555-0180",2,2013-10-22 00:00:00.000
2893,"1 (11) 500 555-0132",2,2012-09-10 00:00:00.000
2894,"1 (11) 500 555-0198",1,2013-10-08 00:00:00.000
2895,"1 (11) 500 555-0180",2,2014-01-27 00:00:00.000
2896,"714-555-0190",1,2014-05-08 00:00:00.000
2897,"712-555-0120",2,2014-01-06 00:00:00.000
2898,"871-555-0179",2,2013-12-06 00:00:00.000
2899,"104-555-0162",2,2011-11-01 00:00:00.000
2900,"1 (11) 500 555-0128",1,2012-04-09 00:00:00.000
2901,"1 (11) 500 555-0144",1,2014-05-12 00:00:00.000
2902,"1 (11) 500 555-0164",2,2013-03-11 00:00:00.000
2903,"1 (11) 500 555-0156",2,2012-04-06 00:00:00.000
2904,"1 (11) 500 555-0171",1,2014-01-03 00:00:00.000
2905,"666-555-0119",1,2013-08-10 00:00:00.000
2906,"841-555-0132",1,2013-10-26 00:00:00.000
2907,"1 (11) 500 555-0170",1,2013-07-16 00:00:00.000
2908,"1 (11) 500 555-0171",1,2013-08-03 00:00:00.000
2909,"162-555-0124",1,2014-03-02 00:00:00.000
2910,"1 (11) 500 555-0149",2,2012-04-09 00:00:00.000
2911,"231-555-0156",2,2011-12-12 00:00:00.000
2912,"1 (11) 500 555-0119",2,2013-12-17 00:00:00.000
2913,"1 (11) 500 555-0171",2,2012-07-22 00:00:00.000
2914,"713-555-0114",1,2013-08-28 00:00:00.000
2915,"515-555-0120",1,2014-05-01 00:00:00.000
2916,"1 (11) 500 555-0136",2,2013-11-24 00:00:00.000
2917,"1 (11) 500 555-0154",2,2011-11-13 00:00:00.000
2918,"1 (11) 500 555-0141",1,2012-05-09 00:00:00.000
2919,"869-555-0170",2,2013-12-14 00:00:00.000
2920,"1 (11) 500 555-0151",2,2014-02-23 00:00:00.000
2921,"1 (11) 500 555-0170",1,2014-01-18 00:00:00.000
2922,"211-555-0111",1,2014-03-09 00:00:00.000
2923,"472-555-0123",2,2013-08-12 00:00:00.000
2924,"884-555-0184",1,2014-03-29 00:00:00.000
2925,"1 (11) 500 555-0158",2,2014-06-13 00:00:00.000
2926,"1 (11) 500 555-0147",2,2013-09-20 00:00:00.000
2927,"1 (11) 500 555-0193",2,2013-09-25 00:00:00.000
2928,"1 (11) 500 555-0188",1,2014-01-11 00:00:00.000
2929,"1 (11) 500 555-0113",2,2013-01-21 00:00:00.000
2930,"366-555-0111",1,2013-12-25 00:00:00.000
2931,"1 (11) 500 555-0174",2,2013-11-20 00:00:00.000
2932,"273-555-0114",1,2013-07-13 00:00:00.000
2933,"553-555-0199",2,2013-12-23 00:00:00.000
2934,"137-555-0187",2,2012-05-11 00:00:00.000
2935,"1 (11) 500 555-0162",1,2014-05-08 00:00:00.000
2936,"939-555-0192",1,2014-05-11 00:00:00.000
2937,"452-555-0116",1,2014-04-05 00:00:00.000
2938,"649-555-0191",2,2013-11-12 00:00:00.000
2939,"358-555-0171",1,2014-01-25 00:00:00.000
2940,"195-555-0129",2,2012-01-06 00:00:00.000
2941,"853-555-0161",1,2014-05-07 00:00:00.000
2942,"1 (11) 500 555-0122",1,2014-01-03 00:00:00.000
2943,"1 (11) 500 555-0151",1,2013-11-26 00:00:00.000
2944,"326-555-0144",2,2013-11-28 00:00:00.000
2945,"1 (11) 500 555-0125",2,2012-12-14 00:00:00.000
2946,"559-555-0188",1,2014-01-11 00:00:00.000
2947,"942-555-0165",2,2013-10-09 00:00:00.000
2948,"175-555-0161",1,2014-03-16 00:00:00.000
2949,"241-555-0125",1,2013-07-17 00:00:00.000
2950,"739-555-0110",2,2013-09-08 00:00:00.000
2951,"217-555-0118",2,2012-09-28 00:00:00.000
2952,"1 (11) 500 555-0113",2,2014-06-07 00:00:00.000
2953,"1 (11) 500 555-0185",1,2014-02-01 00:00:00.000
2954,"1 (11) 500 555-0115",2,2013-09-18 00:00:00.000
2955,"946-555-0151",1,2014-04-01 00:00:00.000
2956,"1 (11) 500 555-0173",2,2014-05-26 00:00:00.000
2957,"1 (11) 500 555-0193",1,2013-10-24 00:00:00.000
2958,"120-555-0165",1,2014-04-24 00:00:00.000
2959,"204-555-0163",1,2014-03-19 00:00:00.000
2960,"557-555-0134",1,2014-05-20 00:00:00.000
2961,"428-555-0132",1,2013-12-18 00:00:00.000
2962,"1 (11) 500 555-0177",1,2014-03-02 00:00:00.000
2963,"1 (11) 500 555-0125",2,2013-01-02 00:00:00.000
2964,"1 (11) 500 555-0138",2,2014-01-07 00:00:00.000
2965,"1 (11) 500 555-0161",1,2012-06-03 00:00:00.000
2966,"855-555-0146",1,2013-11-23 00:00:00.000
2967,"1 (11) 500 555-0122",1,2013-11-16 00:00:00.000
2968,"718-555-0170",1,2014-02-13 00:00:00.000
2969,"1 (11) 500 555-0145",1,2013-10-11 00:00:00.000
2970,"670-555-0187",2,2011-08-18 00:00:00.000
2971,"858-555-0114",2,2013-09-22 00:00:00.000
2972,"1 (11) 500 555-0148",2,2012-06-20 00:00:00.000
2973,"601-555-0119",2,2012-11-30 00:00:00.000
2974,"1 (11) 500 555-0131",1,2013-05-13 00:00:00.000
2975,"1 (11) 500 555-0140",1,2013-02-10 00:00:00.000
2976,"186-555-0182",1,2014-05-02 00:00:00.000
2977,"1 (11) 500 555-0182",1,2013-11-17 00:00:00.000
2978,"518-555-0132",2,2013-10-27 00:00:00.000
2979,"554-555-0116",1,2013-09-12 00:00:00.000
2980,"1 (11) 500 555-0145",1,2014-04-21 00:00:00.000
2981,"1 (11) 500 555-0189",2,2013-05-16 00:00:00.000
2982,"802-555-0135",1,2013-11-26 00:00:00.000
2983,"738-555-0129",1,2013-08-10 00:00:00.000
2984,"638-555-0187",2,2013-11-10 00:00:00.000
2985,"758-555-0143",2,2014-05-28 00:00:00.000
2986,"816-555-0118",2,2013-05-11 00:00:00.000
2987,"567-555-0166",1,2013-09-29 00:00:00.000
2988,"147-555-0124",2,2013-07-06 00:00:00.000
2989,"187-555-0156",1,2013-11-08 00:00:00.000
2990,"1 (11) 500 555-0198",2,2013-08-21 00:00:00.000
2991,"1 (11) 500 555-0189",1,2013-12-19 00:00:00.000
2992,"498-555-0189",2,2012-11-03 00:00:00.000
2993,"1 (11) 500 555-0117",1,2012-05-25 00:00:00.000
2994,"965-555-0154",1,2013-09-07 00:00:00.000
2995,"1 (11) 500 555-0188",1,2012-12-06 00:00:00.000
2996,"252-555-0177",1,2013-08-03 00:00:00.000
2997,"740-555-0139",1,2013-09-14 00:00:00.000
2998,"1 (11) 500 555-0152",1,2013-09-01 00:00:00.000
2999,"240-555-0134",1,2013-11-24 00:00:00.000
3000,"241-555-0141",2,2014-03-13 00:00:00.000
3001,"716-555-0187",1,2014-01-20 00:00:00.000
3002,"1 (11) 500 555-0160",2,2013-07-30 00:00:00.000
3003,"918-555-0126",2,2014-03-20 00:00:00.000
3004,"424-555-0137",2,2013-11-19 00:00:00.000
3005,"897-555-0178",2,2013-12-30 00:00:00.000
3006,"899-555-0199",2,2013-04-29 00:00:00.000
3007,"827-555-0145",1,2013-11-09 00:00:00.000
3008,"724-555-0144",2,2013-05-28 00:00:00.000
3009,"152-555-0195",1,2012-09-08 00:00:00.000
3010,"736-555-0119",2,2012-10-11 00:00:00.000
3011,"159-555-0111",1,2012-08-19 00:00:00.000
3012,"673-555-0124",1,2014-05-17 00:00:00.000
3013,"802-555-0126",1,2014-02-20 00:00:00.000
3014,"361-555-0183",2,2012-04-21 00:00:00.000
3015,"486-555-0148",1,2012-05-22 00:00:00.000
3016,"281-555-0144",2,2013-07-20 00:00:00.000
3017,"1 (11) 500 555-0152",2,2013-10-17 00:00:00.000
3018,"132-555-0148",2,2013-12-29 00:00:00.000
3019,"287-555-0113",1,2012-06-23 00:00:00.000
3020,"1 (11) 500 555-0113",2,2013-12-28 00:00:00.000
3021,"231-555-0134",1,2013-06-03 00:00:00.000
3022,"1 (11) 500 555-0117",1,2014-05-20 00:00:00.000
3023,"755-555-0117",2,2013-11-20 00:00:00.000
3024,"419-555-0113",2,2013-10-25 00:00:00.000
3025,"380-555-0151",1,2011-07-09 00:00:00.000
3026,"259-555-0114",2,2014-05-08 00:00:00.000
3027,"1 (11) 500 555-0185",2,2013-01-28 00:00:00.000
3028,"1 (11) 500 555-0174",2,2013-09-10 00:00:00.000
3029,"1 (11) 500 555-0184",1,2013-11-25 00:00:00.000
3030,"216-555-0121",2,2014-05-20 00:00:00.000
3031,"1 (11) 500 555-0148",2,2014-04-30 00:00:00.000
3032,"442-555-0182",2,2013-07-16 00:00:00.000
3033,"185-555-0119",1,2014-04-06 00:00:00.000
3034,"1 (11) 500 555-0178",2,2014-06-24 00:00:00.000
3035,"1 (11) 500 555-0139",1,2013-04-14 00:00:00.000
3036,"1 (11) 500 555-0194",1,2012-06-14 00:00:00.000
3037,"553-555-0122",1,2014-02-19 00:00:00.000
3038,"1 (11) 500 555-0150",2,2013-09-18 00:00:00.000
3039,"328-555-0124",2,2013-07-16 00:00:00.000
3040,"1 (11) 500 555-0117",2,2012-04-15 00:00:00.000
3041,"184-555-0159",2,2013-07-18 00:00:00.000
3042,"1 (11) 500 555-0182",2,2013-11-16 00:00:00.000
3043,"1 (11) 500 555-0125",1,2013-07-29 00:00:00.000
3044,"1 (11) 500 555-0185",2,2012-05-04 00:00:00.000
3045,"409-555-0141",1,2014-05-14 00:00:00.000
3046,"1 (11) 500 555-0129",2,2014-02-14 00:00:00.000
3047,"957-555-0113",2,2013-08-02 00:00:00.000
3048,"1 (11) 500 555-0124",1,2014-02-25 00:00:00.000
3049,"238-555-0168",2,2014-05-25 00:00:00.000
3050,"1 (11) 500 555-0186",1,2014-03-31 00:00:00.000
3051,"920-555-0197",2,2013-08-18 00:00:00.000
3052,"501-555-0194",2,2013-06-21 00:00:00.000
3053,"1 (11) 500 555-0161",2,2013-08-18 00:00:00.000
3054,"505-555-0159",2,2013-12-01 00:00:00.000
3055,"270-555-0140",1,2014-01-29 00:00:00.000
3056,"628-555-0156",2,2013-05-07 00:00:00.000
3057,"234-555-0189",1,2011-11-30 00:00:00.000
3058,"1 (11) 500 555-0169",1,2014-03-07 00:00:00.000
3059,"486-555-0161",1,2013-09-26 00:00:00.000
3060,"1 (11) 500 555-0112",2,2013-09-20 00:00:00.000
3061,"498-555-0118",2,2012-10-14 00:00:00.000
3062,"1 (11) 500 555-0111",1,2013-01-02 00:00:00.000
3063,"931-555-0154",2,2014-05-19 00:00:00.000
3064,"1 (11) 500 555-0180",1,2013-08-13 00:00:00.000
3065,"692-555-0112",1,2014-04-24 00:00:00.000
3066,"934-555-0160",1,2014-02-11 00:00:00.000
3067,"979-555-0161",2,2013-11-12 00:00:00.000
3068,"236-555-0147",1,2014-02-19 00:00:00.000
3069,"217-555-0124",2,2014-05-30 00:00:00.000
3070,"270-555-0169",1,2013-07-17 00:00:00.000
3071,"227-555-0110",2,2013-10-23 00:00:00.000
3072,"648-555-0134",1,2014-05-24 00:00:00.000
3073,"1 (11) 500 555-0193",2,2013-04-11 00:00:00.000
3074,"293-555-0151",1,2013-08-28 00:00:00.000
3075,"1 (11) 500 555-0147",1,2013-08-25 00:00:00.000
3076,"278-555-0183",2,2012-05-14 00:00:00.000
3077,"1 (11) 500 555-0142",2,2014-04-06 00:00:00.000
3078,"1 (11) 500 555-0112",1,2013-02-01 00:00:00.000
3079,"1 (11) 500 555-0143",2,2012-12-24 00:00:00.000
3080,"1 (11) 500 555-0114",1,2012-09-18 00:00:00.000
3081,"852-555-0119",1,2012-06-03 00:00:00.000
3082,"578-555-0111",2,2014-02-10 00:00:00.000
3083,"798-555-0198",2,2013-09-11 00:00:00.000
3084,"886-555-0125",2,2013-11-03 00:00:00.000
3085,"1 (11) 500 555-0145",1,2012-05-29 00:00:00.000
3086,"982-555-0151",1,2013-03-25 00:00:00.000
3087,"567-555-0176",1,2014-01-28 00:00:00.000
3088,"813-555-0173",2,2014-02-06 00:00:00.000
3089,"1 (11) 500 555-0193",1,2014-02-01 00:00:00.000
3090,"1 (11) 500 555-0130",1,2011-08-14 00:00:00.000
3091,"1 (11) 500 555-0184",1,2014-03-30 00:00:00.000
3092,"187-555-0139",1,2013-10-26 00:00:00.000
3093,"1 (11) 500 555-0134",1,2013-03-17 00:00:00.000
3094,"685-555-0141",1,2014-03-15 00:00:00.000
3095,"647-555-0182",1,2013-09-16 00:00:00.000
3096,"1 (11) 500 555-0141",1,2014-01-13 00:00:00.000
3097,"404-555-0112",2,2013-10-15 00:00:00.000
3098,"185-555-0119",2,2013-07-22 00:00:00.000
3099,"356-555-0193",1,2014-04-12 00:00:00.000
3100,"192-555-0173",2,2012-07-14 00:00:00.000
3101,"1 (11) 500 555-0153",2,2013-11-28 00:00:00.000
3102,"560-555-0193",1,2012-06-17 00:00:00.000
3103,"1 (11) 500 555-0137",2,2012-10-06 00:00:00.000
3104,"181-555-0198",2,2013-11-18 00:00:00.000
3105,"340-555-0163",2,2014-03-18 00:00:00.000
3106,"128-555-0175",1,2014-05-07 00:00:00.000
3107,"1 (11) 500 555-0180",2,2013-08-13 00:00:00.000
3108,"1 (11) 500 555-0116",1,2014-05-05 00:00:00.000
3109,"607-555-0187",1,2013-10-23 00:00:00.000
3110,"124-555-0115",2,2013-11-10 00:00:00.000
3111,"1 (11) 500 555-0176",1,2012-06-21 00:00:00.000
3112,"125-555-0161",1,2013-06-20 00:00:00.000
3113,"1 (11) 500 555-0187",2,2014-03-22 00:00:00.000
3114,"1 (11) 500 555-0131",2,2012-10-31 00:00:00.000
3115,"1 (11) 500 555-0147",2,2012-07-03 00:00:00.000
3116,"111-555-0141",1,2013-09-28 00:00:00.000
3117,"1 (11) 500 555-0117",2,2012-04-01 00:00:00.000
3118,"509-555-0169",2,2013-07-20 00:00:00.000
3119,"155-555-0120",1,2014-02-04 00:00:00.000
3120,"507-555-0193",1,2013-06-20 00:00:00.000
3121,"452-555-0184",1,2012-07-18 00:00:00.000
3122,"1 (11) 500 555-0171",2,2013-08-29 00:00:00.000
3123,"583-555-0119",2,2012-09-18 00:00:00.000
3124,"1 (11) 500 555-0143",1,2013-10-10 00:00:00.000
3125,"1 (11) 500 555-0116",1,2013-12-27 00:00:00.000
3126,"1 (11) 500 555-0159",1,2013-03-04 00:00:00.000
3127,"1 (11) 500 555-0122",2,2012-11-02 00:00:00.000
3128,"418-555-0180",2,2013-11-14 00:00:00.000
3129,"1 (11) 500 555-0188",1,2014-05-07 00:00:00.000
3130,"1 (11) 500 555-0114",1,2013-02-26 00:00:00.000
3131,"1 (11) 500 555-0196",2,2011-11-14 00:00:00.000
3132,"284-555-0125",2,2014-03-02 00:00:00.000
3133,"886-555-0126",2,2014-03-25 00:00:00.000
3134,"605-555-0110",2,2013-06-25 00:00:00.000
3135,"1 (11) 500 555-0119",1,2013-07-14 00:00:00.000
3136,"741-555-0155",2,2013-09-07 00:00:00.000
3137,"1 (11) 500 555-0119",1,2012-01-24 00:00:00.000
3138,"1 (11) 500 555-0125",1,2014-05-27 00:00:00.000
3139,"113-555-0175",1,2014-02-14 00:00:00.000
3140,"1 (11) 500 555-0153",1,2014-05-29 00:00:00.000
3141,"1 (11) 500 555-0116",2,2013-07-13 00:00:00.000
3142,"965-555-0178",2,2014-03-30 00:00:00.000
3143,"911-555-0122",2,2014-02-20 00:00:00.000
3144,"1 (11) 500 555-0153",2,2014-02-15 00:00:00.000
3145,"640-555-0133",1,2011-12-24 00:00:00.000
3146,"1 (11) 500 555-0182",2,2012-05-18 00:00:00.000
3147,"1 (11) 500 555-0150",2,2012-07-19 00:00:00.000
3148,"859-555-0122",2,2013-02-01 00:00:00.000
3149,"509-555-0143",1,2013-12-30 00:00:00.000
3150,"1 (11) 500 555-0191",1,2013-08-31 00:00:00.000
3151,"105-555-0170",2,2014-04-27 00:00:00.000
3152,"1 (11) 500 555-0126",1,2012-12-15 00:00:00.000
3153,"894-555-0112",2,2013-07-23 00:00:00.000
3154,"555-555-0125",1,2013-12-29 00:00:00.000
3155,"1 (11) 500 555-0132",1,2011-11-29 00:00:00.000
3156,"1 (11) 500 555-0182",2,2013-07-04 00:00:00.000
3157,"610-555-0178",2,2014-05-06 00:00:00.000
3158,"580-555-0133",1,2013-12-25 00:00:00.000
3159,"254-555-0126",2,2014-03-01 00:00:00.000
3160,"569-555-0124",1,2014-03-09 00:00:00.000
3161,"261-555-0118",1,2013-03-26 00:00:00.000
3162,"1 (11) 500 555-0195",2,2013-12-01 00:00:00.000
3163,"391-555-0176",1,2012-05-27 00:00:00.000
3164,"845-555-0127",1,2014-01-26 00:00:00.000
3165,"767-555-0151",2,2013-10-20 01:00:00.000
3166,"1 (11) 500 555-0117",1,2014-06-17 00:00:00.000
3167,"926-555-0159",1,2014-01-17 00:00:00.000
3168,"1 (11) 500 555-0123",2,2013-07-10 00:00:00.000
3169,"643-555-0126",1,2014-04-07 00:00:00.000
3170,"422-555-0111",2,2014-04-15 00:00:00.000
3171,"378-555-0188",1,2011-11-25 00:00:00.000
3172,"333-555-0115",1,2013-07-11 00:00:00.000
3173,"1 (11) 500 555-0164",1,2013-09-30 00:00:00.000
3174,"1 (11) 500 555-0173",2,2014-01-28 00:00:00.000
